species_id,common_name,image_count,description,folder_path,source_url
72486,Egyptian Goose,17,"The Egyptian goose (Egyptian Goose) is a member of the duck, goose, and swan family Anatidae. It is native to Africa south of the Sahara and the Nile Valley.",/kaggle/input/birdsug/birdsuganda/image/Egyptian_Goose,https://www.inaturalist.org/taxa/72486-Egyptian Goose
14588,Common Bulbul,17,"The common bulbul (Common Bulbul) is a member of the bulbul family of passerine birds. It is found in north-eastern, northern, western and central Africa.",/kaggle/input/birdsug/birdsuganda/image/Common_Bulbul,https://www.inaturalist.org/taxa/14588-Common Bulbul
3743,Hadada Ibis,17,"The hadada or hadeda ibis (Hadada Ibis), is an ibis found in Sub-Saharan Africa.",/kaggle/input/birdsug/birdsuganda/image/Hadada_Ibis,https://www.inaturalist.org/taxa/3743-Hadada Ibis
1428,Helmeted Guineafowl,17,"The helmeted guineafowl (Helmeted Guineafowl) is the best known of the guineafowl bird family, Numididae, and the only member of the genus Numida. It is native to Africa, mainly south of the Sahara, and has been widely introduced into the West Indies, Brazil, Australia and Europe (e.g. southern France).",/kaggle/input/birdsug/birdsuganda/image/Helmeted_Guineafowl,https://www.inaturalist.org/taxa/1428-Helmeted Guineafowl
1455922,Laughing Dove,17,"The laughing dove (Laughing Dove) is a small pigeon that is a resident breeder in Africa, the Middle East, South Asia, and Western Australia where it has established itself in the wild after being released from Perth Zoo in 1898. This small long-tailed dove is found in dry scrub and semi-desert habitats where pairs can often be seen feeding on the ground. It is closely related to the spotted dove (Spilopelia chinensis) which is distinguished by...",/kaggle/input/birdsug/birdsuganda/image/Laughing_Dove,https://www.inaturalist.org/taxa/1455922-Laughing Dove
4870,Blacksmith Lapwing,17,"The blacksmith lapwing or blacksmith plover (Blacksmith Lapwing) occurs commonly from Kenya through central Tanzania to southern and southwestern Africa. The vernacular name derives from the repeated metallic 'tink, tink, tink' alarm call, which suggests a blacksmith's hammer striking an anvil.",/kaggle/input/birdsug/birdsuganda/image/Blacksmith_Lapwing,https://www.inaturalist.org/taxa/4870-Blacksmith Lapwing
4954,Grey Heron,17,"The grey heron (Grey Heron) is a long-legged predatory wading bird of the heron family, Ardeidae, native throughout temperate Europe and Asia and also parts of Africa. It is resident in much of its range, but some populations from the more northern parts migrate southwards in autumn. A bird of wetland areas, it can be seen around lakes, rivers, ponds, marshes and on the sea coast. It feeds mostly on aquatic creatures which it catches after...",/kaggle/input/birdsug/birdsuganda/image/Grey_Heron,https://www.inaturalist.org/taxa/4954-Grey Heron
20526,Common Ostrich,17,"The ostrich or common ostrich (Common Ostrich) is either one or two species of large flightless birds native to Africa, the only living member(s) of the genus Struthio, which is in the ratite family. In 2014, the Somali ostrich (Struthio molybdophanes) was recognized as a distinct species.",/kaggle/input/birdsug/birdsuganda/image/Common_Ostrich,https://www.inaturalist.org/taxa/20526-Common Ostrich
411086,Western Cattle-Egret,17,"The cattle egret (Bubulcus ibis) is a cosmopolitan species of heron (family Ardeidae) found in the tropics, subtropics and warm temperate zones. It is the only member of the monotypic genus Bubulcus, although some authorities regard two of its subspecies as full species, the western cattle egret and the eastern cattle egret. Despite the similarities in plumage to the egrets of the genus Egretta, it is more closely related to the herons of Ardea. Originally native...",/kaggle/input/birdsug/birdsuganda/image/Western_Cattle-Egret,https://www.inaturalist.org/taxa/411086-Western Cattle-Egret
1505670,African Fish-Eagle,17,"The African fish eagle (African Fish-Eagle) or the African sea eagle is a large species of eagle found throughout sub-Saharan Africa wherever large bodies of open water with an abundant food supply occur. It is the national bird of Malawi, Namibia, Zambia, and Zimbabwe. As a result of its large range, it is known in many languages. Examples of names include: Vis Arend in Afrikaans, nkwazi in Chewa, aigle pêcheur in French, hungwe in Shona, inkwazi...",/kaggle/input/birdsug/birdsuganda/image/African_Fish-Eagle,https://www.inaturalist.org/taxa/1505670-African Fish-Eagle
8268,Fork-tailed Drongo,17,"The fork-tailed drongo, also called the common drongo, African drongo, or savanna drongo (Fork-tailed Drongo), is a species of drongo in the family Dicruridae, which are medium-sized passerine birds of the Old World. It is native to the tropics, subtropics and temperate zones of the Afrotropics. Its range was formerly considered to include Asia, but the Asian species is now called the black drongo (Dicrurus macrocercus).",/kaggle/input/birdsug/birdsuganda/image/Fork-tailed_Drongo,https://www.inaturalist.org/taxa/8268-Fork-tailed Drongo
2988,Red-eyed Dove,17,"The red-eyed dove (Red-eyed Dove) is a pigeon which is a widespread resident breeding bird in Africa south of the Sahara. It is a common, if not abundant, species in most habitats other than desert.",/kaggle/input/birdsug/birdsuganda/image/Red-eyed_Dove,https://www.inaturalist.org/taxa/2988-Red-eyed Dove
508246,Reed Cormorant,17,"The reed cormorant (Reed Cormorant), also known as the long-tailed cormorant, is a bird in the cormorant family Phalacrocoracidae. It breeds in much of Africa south of the Sahara, and Madagascar. It is resident but undertakes some seasonal movements.",/kaggle/input/birdsug/birdsuganda/image/Reed_Cormorant,https://www.inaturalist.org/taxa/508246-Reed Cormorant
3739,African Sacred Ibis,17,The African sacred ibis (African Sacred Ibis) is a species of ibis. Its sister species is the Australian white ibis.,/kaggle/input/birdsug/birdsuganda/image/African_Sacred_Ibis,https://www.inaturalist.org/taxa/3739-African Sacred Ibis
13804,Southern Masked Weaver,17,The southern masked weaver or African masked weaver (Southern Masked Weaver) is a resident breeding bird species common throughout southern Africa.,/kaggle/input/birdsug/birdsuganda/image/Southern_Masked_Weaver,https://www.inaturalist.org/taxa/13804-Southern Masked Weaver
